id,clave,name,description
cfd_mx_traslado.cartaporte_unidadpeso_XLV,XLV,Contenedor pequeño,"Contenedor de madera o metal, usado para empacar artículos de uso doméstico y personales."
cfd_mx_traslado.cartaporte_unidadpeso_XLZ,XLZ,Registros  con fleje/ agrupados/ armados,
cfd_mx_traslado.cartaporte_unidadpeso_XMA,XMA,Cajón metálico,Caja de contención hecha de metal para retener sustancias o artículos.
cfd_mx_traslado.cartaporte_unidadpeso_XMB,XMB,Múltiplo de bolsas,
cfd_mx_traslado.cartaporte_unidadpeso_XMC,XMC,Cajón para leche,
cfd_mx_traslado.cartaporte_unidadpeso_XME,XME,Contenedor de metal,"Tipo de caja de contención hecha de metal para retener sustancias o artículos, no especificado de otro modo como equipo de transporte."
cfd_mx_traslado.cartaporte_unidadpeso_XMR,XMR,Recipiente de metal,Recipiente de contención de metal para retener sustancias o artículos.
cfd_mx_traslado.cartaporte_unidadpeso_XMS,XMS,Saco milti-pared,
cfd_mx_traslado.cartaporte_unidadpeso_XMT,XMT,Tapete,
cfd_mx_traslado.cartaporte_unidadpeso_XMW,XMW,Contenedor envuelto en plástico,Recipiente de contención envuelto en plástico para retener sustancias o artículos.
cfd_mx_traslado.cartaporte_unidadpeso_XMX,XMX,Caja pequeña de cerillos,
cfd_mx_traslado.cartaporte_unidadpeso_XNA,XNA,No disponible,
cfd_mx_traslado.cartaporte_unidadpeso_XNE,XNE,Sin empaque o no empaquetado,
cfd_mx_traslado.cartaporte_unidadpeso_XNF,XNF,"Sin empaque o no empaquetado, unidad simple",
cfd_mx_traslado.cartaporte_unidadpeso_XNG,XNG,"Sin empaque o no empaquetado, unidades múltiples",
cfd_mx_traslado.cartaporte_unidadpeso_XNS,XNS,Caja nido,
cfd_mx_traslado.cartaporte_unidadpeso_XNT,XNT,Red,
cfd_mx_traslado.cartaporte_unidadpeso_XNU,XNU,Red de plástico con tubo,
cfd_mx_traslado.cartaporte_unidadpeso_XNV,XNV,Red textil con tubo,
cfd_mx_traslado.cartaporte_unidadpeso_XOA,XOA,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 40 cm x 60 cm",Pallet de dimensiones 40 centímetros x 60 centímetros.
cfd_mx_traslado.cartaporte_unidadpeso_XOB,XOB,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 80 cm x 120 cm",Pallet de dimensiones 80 centímetros x 120 centímetros.
cfd_mx_traslado.cartaporte_unidadpeso_XOC,XOC,"Pallet, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP) 100 cm x 120 cm",Pallet de dimensiones 100 centímetros x 120 centímetros.
cfd_mx_traslado.cartaporte_unidadpeso_XOD,XOD,"Pallet, AS 4068-1993",Pallet con  estándar australiano de dimensiones 115.5 centímetros x 116.5 centímetros.
cfd_mx_traslado.cartaporte_unidadpeso_XOE,XOE,"Pallet, ISO T11","Pallet con estándar ISO de dimensiones 110 centímetros x 110 centímetros, prevalente en la región Asia-Pacífico."
cfd_mx_traslado.cartaporte_unidadpeso_XOF,XOF,"Plataforma, peso o dimensión no especificada",Plataforma de carga equivalente del Pallet de dimensiones desconocidas o peso desconocido.
cfd_mx_traslado.cartaporte_unidadpeso_XOK,XOK,Bloque,"Una pieza sólida de una sustancia dura, tal como granito, que tiene uno o más lados planos."
cfd_mx_traslado.cartaporte_unidadpeso_XOT,XOT,Octabin,"Envase estándar de cartón de grandes dimensiones para almacenar por ejemplo verduras, gránulos de plástico u otros productos secos."
cfd_mx_traslado.cartaporte_unidadpeso_XP2,XP2,Charola,"Recipiente ancho y abierto, usualmente de metal."
cfd_mx_traslado.cartaporte_unidadpeso_XPA,XPA,Cajetilla,Paquete pequeño.
cfd_mx_traslado.cartaporte_unidadpeso_XPB,XPB,"Pallet, Caja combinada y abierta con caja y pallet.",
cfd_mx_traslado.cartaporte_unidadpeso_XPC,XPC,Paquete postal,
cfd_mx_traslado.cartaporte_unidadpeso_XPD,XPD,Pallet modular con collares (80cms * 100cms),Pallet tamaño estándar de dimensiones 80 centímetros por 100 centímetros (cms).
cfd_mx_traslado.cartaporte_unidadpeso_XPE,XPE,Pallet modular con collares (80cms * 120cms),Pallet tamaño estándar de dimensiones 80 centímetros por 120 centímetros (cms).
cfd_mx_traslado.cartaporte_unidadpeso_XPF,XPF,Corral,Pequeño recinto abierto para retener animales.
cfd_mx_traslado.cartaporte_unidadpeso_XPG,XPG,Placa,
cfd_mx_traslado.cartaporte_unidadpeso_XPH,XPH,Cantaro,
cfd_mx_traslado.cartaporte_unidadpeso_XPI,XPI,Pleca,
cfd_mx_traslado.cartaporte_unidadpeso_XPJ,XPJ,Canastilla,
cfd_mx_traslado.cartaporte_unidadpeso_XPK,XPK,Paquete,Unidad de empaque estándar.
cfd_mx_traslado.cartaporte_unidadpeso_XPL,XPL,Balde,
cfd_mx_traslado.cartaporte_unidadpeso_XPN,XPN,Tablón,
cfd_mx_traslado.cartaporte_unidadpeso_XPO,XPO,Bolsa pequeña,
cfd_mx_traslado.cartaporte_unidadpeso_XPR,XPR,Contenedor de plástico,Recipiente de contención de plástico para retener sustancias o artículos.
cfd_mx_traslado.cartaporte_unidadpeso_XPT,XPT,Maceta,
cfd_mx_traslado.cartaporte_unidadpeso_XPU,XPU,Cacerola,
cfd_mx_traslado.cartaporte_unidadpeso_XPV,XPV,"Tubos, con fleje/ agrupados/ armados",
cfd_mx_traslado.cartaporte_unidadpeso_XPX,XPX,Pallet,"Plataforma o caja abierta, generalmente de madera, en la que se conservan las mercancías para facilitar el manejo mecánico durante el transporte y almacenamiento."
cfd_mx_traslado.cartaporte_unidadpeso_XPY,XPY,Placas con fleje/ agrupados/ armados,
cfd_mx_traslado.cartaporte_unidadpeso_XPZ,XPZ,Tablones con fleje/ agrupados/ armados,
cfd_mx_traslado.cartaporte_unidadpeso_XQA,XQA,Tambor de acero con cabeza no desmontable,
cfd_mx_traslado.cartaporte_unidadpeso_XQB,XQB,Tambor de  acero con cabeza extraíble,
cfd_mx_traslado.cartaporte_unidadpeso_XQC,XQC,Tambor de aluminio con cabeza no extraíble,
cfd_mx_traslado.cartaporte_unidadpeso_XQD,XQD,Tambor de aluminio con cabeza extraíble,
cfd_mx_traslado.cartaporte_unidadpeso_XQF,XQF,"Tambor, plástico con cabeza no desmontable",
cfd_mx_traslado.cartaporte_unidadpeso_XQG,XQG,"Tambor, plástico, cabeza extraíble",
cfd_mx_traslado.cartaporte_unidadpeso_XQH,XQH,Barril de madera con tapón,
cfd_mx_traslado.cartaporte_unidadpeso_XQJ,XQJ,Barril de madera con cabeza desprendible,
cfd_mx_traslado.cartaporte_unidadpeso_XQK,XQK,Bidón de acero con cabeza no desmontable,
cfd_mx_traslado.cartaporte_unidadpeso_XQL,XQL,Bidón de acero con cabeza desmontable,
cfd_mx_traslado.cartaporte_unidadpeso_XQM,XQM,Bidón de plástico con cabeza no desmontable,
cfd_mx_traslado.cartaporte_unidadpeso_XQN,XQN,Bidón de plástico con cabeza extraíble,
cfd_mx_traslado.cartaporte_unidadpeso_XQP,XQP,Caja de madera natural estándar,
cfd_mx_traslado.cartaporte_unidadpeso_XQQ,XQQ,Caja de madera natural con muros a prueba de filtraciones,
cfd_mx_traslado.cartaporte_unidadpeso_XQR,XQR,Caja de plástico expandida,
cfd_mx_traslado.cartaporte_unidadpeso_XQS,XQS,Caja de plástico sólida,
cfd_mx_traslado.cartaporte_unidadpeso_XRD,XRD,Rod,
cfd_mx_traslado.cartaporte_unidadpeso_XRG,XRG,Anillo,
cfd_mx_traslado.cartaporte_unidadpeso_XRJ,XRJ,"Estante, Perchero para ropa",
cfd_mx_traslado.cartaporte_unidadpeso_XRK,XRK,Estante,
cfd_mx_traslado.cartaporte_unidadpeso_XRL,XRL,Carrete,Dispositivo giratorio cilíndrico con un reborde en cada extremo en el que se enrollan los materiales.
cfd_mx_traslado.cartaporte_unidadpeso_XRO,XRO,Rollo,
cfd_mx_traslado.cartaporte_unidadpeso_XRT,XRT,Red Roja,Material de confinamiento hecho de redes de malla roja para retener artículos (por ejemplo árboles).
cfd_mx_traslado.cartaporte_unidadpeso_XRZ,XRZ,Varillas  con fleje/ agrupados/ armados,
cfd_mx_traslado.cartaporte_unidadpeso_XSA,XSA,Saco,
cfd_mx_traslado.cartaporte_unidadpeso_XSB,XSB,Losa,
cfd_mx_traslado.cartaporte_unidadpeso_XSC,XSC,Cajón poco profundo,
cfd_mx_traslado.cartaporte_unidadpeso_XSD,XSD,Huso,
cfd_mx_traslado.cartaporte_unidadpeso_XSE,XSE,Baúl,
cfd_mx_traslado.cartaporte_unidadpeso_XSH,XSH,Bolsa pequeña hermética,
cfd_mx_traslado.cartaporte_unidadpeso_XSI,XSI,Patín,Una plataforma o plataforma móvil baja para facilitar el manejo y transporte de mercancías.
cfd_mx_traslado.cartaporte_unidadpeso_XSK,XSK,Carcasa esqueleto,
cfd_mx_traslado.cartaporte_unidadpeso_XSL,XSL,Hoja de deslizamiento,Láminas de plástico duro se utilizan principalmente como la base sobre la cual apilan mercancías para optimizar el espacio dentro de un contenedor. Puede utilizarse como alternativa a un embalaje paletizado.
cfd_mx_traslado.cartaporte_unidadpeso_XSM,XSM,Hoja de metal,
cfd_mx_traslado.cartaporte_unidadpeso_XSO,XSO,Carrete pequeño,"Contenedor de empaque utilizado en el transporte de artículos tales como alambre, cable, cinta e hilo."
cfd_mx_traslado.cartaporte_unidadpeso_XSP,XSP,Hoja de empaque de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XSS,XSS,Cajón de acero,
cfd_mx_traslado.cartaporte_unidadpeso_XSU,XSU,Maleta,
cfd_mx_traslado.cartaporte_unidadpeso_XSV,XSV,Sobre de acero,
cfd_mx_traslado.cartaporte_unidadpeso_XSW,XSW,Envoltorio,Mercancías retenidas en una película de plástico transparente que ha sido envuelta alrededor y luego encogido fuertemente a las mercancías.
cfd_mx_traslado.cartaporte_unidadpeso_XSY,XSY,Manga,
cfd_mx_traslado.cartaporte_unidadpeso_XSZ,XSZ,Hojas  con fleje/ agrupados/ armados,
cfd_mx_traslado.cartaporte_unidadpeso_XT1,XT1,Tableta,"Artículo suelto o sin empaque en forma de barra, bloque o pieza."
cfd_mx_traslado.cartaporte_unidadpeso_XTB,XTB,Tina,
cfd_mx_traslado.cartaporte_unidadpeso_XTC,XTC,Caja para té,
cfd_mx_traslado.cartaporte_unidadpeso_XTD,XTD,Tubo plegable,
cfd_mx_traslado.cartaporte_unidadpeso_XTG,XTG,Contenedor de tanque genérico,Recipiente especialmente construido para el transporte de líquidos y gases a granel.
cfd_mx_traslado.cartaporte_unidadpeso_XTI,XTI,Tierce,Barril de 1/6 parte de tonel
cfd_mx_traslado.cartaporte_unidadpeso_XTK,XTK,Tanque rectangular,
cfd_mx_traslado.cartaporte_unidadpeso_XTL,XTL,Tina con tapa,
cfd_mx_traslado.cartaporte_unidadpeso_XTN,XTN,Hojalata,
cfd_mx_traslado.cartaporte_unidadpeso_XTO,XTO,Tonel,Barril con capacidad para 982 litros
cfd_mx_traslado.cartaporte_unidadpeso_XTR,XTR,Maletero,
cfd_mx_traslado.cartaporte_unidadpeso_XTS,XTS,Estructura,
cfd_mx_traslado.cartaporte_unidadpeso_XTT,XTT,Bolsa de mano,Una gran bolsa o cesto.
cfd_mx_traslado.cartaporte_unidadpeso_XTU,XTU,Tubo,
cfd_mx_traslado.cartaporte_unidadpeso_XTV,XTV,Tubo con boquilla,"Tubo de plástico, metal o cartón, provisto de una boquilla, que contiene un producto líquido o semilíquido, por ejemplo silicio."
cfd_mx_traslado.cartaporte_unidadpeso_XTW,XTW,Pallet tricapa,Una paleta ligera hecha de cartón ondulado resistente.
cfd_mx_traslado.cartaporte_unidadpeso_XTY,XTY,Tanque cilíndrico,
cfd_mx_traslado.cartaporte_unidadpeso_XTZ,XTZ,Tubos  con fleje/ agrupados/ armados,
cfd_mx_traslado.cartaporte_unidadpeso_XUC,XUC,Sin empaque,
cfd_mx_traslado.cartaporte_unidadpeso_XUN,XUN,Unidad,"Tipo de paquete compuesto de un solo artículo u objeto, no especificado de otro modo como una unidad de equipo de transporte."
cfd_mx_traslado.cartaporte_unidadpeso_XVA,XVA,Tanque,
cfd_mx_traslado.cartaporte_unidadpeso_XVG,XVG,"Tanque de gas (a 1,031 mbar y 15° C)",
cfd_mx_traslado.cartaporte_unidadpeso_XVI,XVI,Frasco pequeño,
cfd_mx_traslado.cartaporte_unidadpeso_XVK,XVK,Paquete transportable,Tipo de cajón de madera.
cfd_mx_traslado.cartaporte_unidadpeso_XVL,XVL,Contenedor para líquidos a granel,
cfd_mx_traslado.cartaporte_unidadpeso_XVN,XVN,Vehículo,Medio de transporte autopropulsado.
cfd_mx_traslado.cartaporte_unidadpeso_XVO,XVO,"Contenedor para sólido de partículas grandes a granel (""nódulos"")",
cfd_mx_traslado.cartaporte_unidadpeso_XVP,XVP,Envasado al vacío,
cfd_mx_traslado.cartaporte_unidadpeso_XVQ,XVQ,Tanque para Gas licuado (a temperatura / presión anormal),
cfd_mx_traslado.cartaporte_unidadpeso_XVR,XVR,Contenedor para sólidos de partículas granulares a granel (Granos),
cfd_mx_traslado.cartaporte_unidadpeso_XVS,XVS,Contenedor de chatarra a granel,Chatarra suelta o sin empaquetar transportada a granel.
cfd_mx_traslado.cartaporte_unidadpeso_XVY,XVY,"Contenedor para sólido de partículas finas a granel (""polvos"")",
cfd_mx_traslado.cartaporte_unidadpeso_XWA,XWA,Contenedor de granel intermedio,"Recipiente reutilizable hecho de metal, plástico, textiles, madera o materiales compuestos utilizados para facilitar el transporte de sólidos y líquidos a granel en volúmenes manejables."
cfd_mx_traslado.cartaporte_unidadpeso_XWB,XWB,Botella de mimbre,
cfd_mx_traslado.cartaporte_unidadpeso_XWC,XWC,Contenedor intermedio para gráneles y de acero,
cfd_mx_traslado.cartaporte_unidadpeso_XWD,XWD,Contenedor intermedio para gráneles y de aluminio,
cfd_mx_traslado.cartaporte_unidadpeso_XWF,XWF,Contenedor intermedio para gráneles y de metal,
cfd_mx_traslado.cartaporte_unidadpeso_XWG,XWG,Contenedor intermedio para gráneles y de acero presurizado menor a 10 kpa,
cfd_mx_traslado.cartaporte_unidadpeso_XWH,XWH,"Contenedor intermedio para gráneles y de aluminio, presurizado menor a 10 kpa",
cfd_mx_traslado.cartaporte_unidadpeso_XWJ,XWJ,Contenedor intermedio para gráneles y de metal con una presión de 10 kpa,
cfd_mx_traslado.cartaporte_unidadpeso_XWK,XWK,Contenedor intermedio para gráneles y de acero para líquido,
cfd_mx_traslado.cartaporte_unidadpeso_XWL,XWL,Contenedor intermedio para gráneles y de aluminio para líquido,
cfd_mx_traslado.cartaporte_unidadpeso_XWM,XWM,Contenedor intermedio para gráneles y de metal para líquido,
cfd_mx_traslado.cartaporte_unidadpeso_XWN,XWN,Contenedor intermedio para gráneles con tejido plástico sin capa con revestimiento,
cfd_mx_traslado.cartaporte_unidadpeso_XWP,XWP,Contenedor intermedio para gráneles con tejido plástico y recubierto,
cfd_mx_traslado.cartaporte_unidadpeso_XWQ,XWQ,Contenedor intermedio para gráneles con tejido plástico con revestimiento,
cfd_mx_traslado.cartaporte_unidadpeso_XWR,XWR,"Contenedor intermedio para gráneles con tejido plástico, revestido y con forro",
cfd_mx_traslado.cartaporte_unidadpeso_XWS,XWS,Contenedor intermedio para gráneles con película de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XWT,XWT,Contenedor intermedio para gráneles textil sin capa / forro,
cfd_mx_traslado.cartaporte_unidadpeso_XWU,XWU,Contenedor intermedio para gráneles de madera natural con forro interior,
cfd_mx_traslado.cartaporte_unidadpeso_XWV,XWV,Contenedor intermedio para gráneles textil recubierto,
cfd_mx_traslado.cartaporte_unidadpeso_XWW,XWW,Contenedor intermedio para gráneles textil con revestimiento,
cfd_mx_traslado.cartaporte_unidadpeso_XWX,XWX,Contenedor intermedio para gráneles textil recubierto y con forro,
cfd_mx_traslado.cartaporte_unidadpeso_XWY,XWY,Contenedor intermedio para gráneles contrachapado con revestimiento interior,
cfd_mx_traslado.cartaporte_unidadpeso_XWZ,XWZ,Contenedor intermedio para gráneles de madera reconstituida con revestimiento interior,
cfd_mx_traslado.cartaporte_unidadpeso_XXA,XXA,"Bolsa de tejido plástico, sin abrigo interior ni forro",
cfd_mx_traslado.cartaporte_unidadpeso_XXB,XXB,Bolsa de tejido plástico a prueba de filtraciones,
cfd_mx_traslado.cartaporte_unidadpeso_XXC,XXC,Bolsa de tejido plástico resistente al agua,
cfd_mx_traslado.cartaporte_unidadpeso_XXD,XXD,Bolsa con película de plástico,
cfd_mx_traslado.cartaporte_unidadpeso_XXF,XXF,Bolsa textil sin capa ni forro interior,
cfd_mx_traslado.cartaporte_unidadpeso_XXG,XXG,Bolsa textil a prueba de filtraciones,
cfd_mx_traslado.cartaporte_unidadpeso_XXH,XXH,Bolsa textil resistente al agua,
cfd_mx_traslado.cartaporte_unidadpeso_XXJ,XXJ,Bolsa de papel multi-pared,
cfd_mx_traslado.cartaporte_unidadpeso_XXK,XXK,"Bolsa de papel multi-pared, resistente al agua",
cfd_mx_traslado.cartaporte_unidadpeso_XYA,XYA,"Empaque compuesto, recipiente de plástico en tambor de acero",
cfd_mx_traslado.cartaporte_unidadpeso_XYB,XYB,"Empaque compuesto, recipiente de plástico en cajas de acero",
cfd_mx_traslado.cartaporte_unidadpeso_XYC,XYC,"Empaque compuesto, recipiente de plástico en tambor de aluminio",
cfd_mx_traslado.cartaporte_unidadpeso_XYD,XYD,"Empaque compuesto, recipiente de plástico en cajón de aluminio",
cfd_mx_traslado.cartaporte_unidadpeso_XYF,XYF,"Empaque compuesto, recipiente de plástico en caja de madera",
cfd_mx_traslado.cartaporte_unidadpeso_XYG,XYG,"Empaque compuesto, recipiente de plástico en tambor de madera contrachapada",
cfd_mx_traslado.cartaporte_unidadpeso_XYH,XYH,"Empaque compuesto, recipiente de plástico en caja de madera contrachapada",
cfd_mx_traslado.cartaporte_unidadpeso_XYJ,XYJ,"Empaque compuesto, recipiente de plástico en tambor de fibra",
